mean_temp,Grass_Min_Temp,max_Temp,mean_amount_of_cloud,mean_dew_point_temp,mean_wet_bulb_temp,min_temp,pressure,rainfall,RH,date
17.7,12.4,20.7,32.0,13.4,15.2,15.5,1018.7,0,77.0,1970-01-01
19.5,12.8,22.9,44.0,14.1,16.4,17.2,1018.6,0,72.0,1970-01-02
18.8,14.7,21.2,35.0,13.3,15.7,17.5,1019.2,0,71.0,1970-01-03
17.9,13.8,20.7,20.0,13.1,15.2,16.1,1020.6,0,74.0,1970-01-04
14.7,13.1,18.2,66.0,7.4,11.1,11.8,1026.0,Trace,62.0,1970-01-05
13.8,9.5,16.9,63.0,6.7,10.3,10.4,1025.6,0,63.0,1970-01-06
14.4,9.3,18.0,65.0,7.3,10.9,11.8,1022.9,0,62.0,1970-01-07
15.7,12.6,18.8,83.0,9.3,12.4,13.7,1021.2,0,66.0,1970-01-08
15.7,14.9,16.7,87.0,11.5,13.5,14.6,1021.1,0,76.0,1970-01-09
13.8,10,16.0,69.0,6.4,10.3,11.6,1023.1,0,61.0,1970-01-10
13.8,6.9,17.5,44.0,6.6,10.3,11.0,1022.5,0,62.0,1970-01-11
15.9,8.4,19.7,53.0,11.7,13.6,13.1,1020.8,0,76.0,1970-01-12
17.7,13.3,21.5,87.0,12.4,14.8,15.8,1020.7,Trace,72.0,1970-01-13
15.2,14,16.5,91.0,13.0,14.0,13.7,1019.2,7.1,87.0,1970-01-14
11.1,6,14.0,30.0,4.1,8.0,8.2,1025.0,0,63.0,1970-01-15
11.3,6.3,15.1,45.0,4.1,8.1,8.2,1027.0,0,62.0,1970-01-16
12.4,6.1,15.4,48.0,6.5,9.6,9.8,1025.9,0,68.0,1970-01-17
11.6,8.9,13.5,91.0,6.8,9.3,8.9,1025.5,0.7,73.0,1970-01-18
10.8,7,15.3,54.0,3.7,7.7,7.6,1025.2,0.2,63.0,1970-01-19
11.7,7.8,15.2,29.0,4.5,8.5,8.2,1023.0,0,61.0,1970-01-20
13.5,6.5,17.5,30.0,7.1,10.4,10.6,1020.8,0,66.0,1970-01-21
15.5,10.3,19.2,67.0,9.9,12.6,12.8,1018.0,0,70.0,1970-01-22
17.7,11.3,21.9,49.0,12.5,14.8,14.6,1016.6,0,72.0,1970-01-23
15.3,13.1,16.9,89.0,10.4,12.7,14.3,1018.5,Trace,73.0,1970-01-24
14.6,12.8,16.5,91.0,11.7,13.0,13.2,1018.6,Trace,83.0,1970-01-25
15.2,13.3,17.1,97.0,12.8,13.9,14.3,1015.8,Trace,86.0,1970-01-26
15.8,14.3,18.1,95.0,14.5,15.1,14.6,1011.9,0.1,92.0,1970-01-27
16.2,15.7,17.2,100.0,15.2,15.6,15.4,1012.2,0.2,94.0,1970-01-28
14.9,14.2,15.7,93.0,13.4,14.1,13.1,1013.9,20.4,91.0,1970-01-29
14.8,8.6,18.7,16.0,3.8,9.8,12.0,1019.5,0,49.0,1970-01-30
13.5,6.6,17.3,1.0,-0.3,7.8,10.2,1021.5,0,40.0,1970-01-31
14.0,5.9,16.9,24.0,6.8,10.5,11.6,1020.8,0,62.0,1970-02-01
16.3,10.4,19.4,46.0,9.8,12.9,13.8,1020.0,0,67.0,1970-02-02
18.1,11.9,22.0,58.0,11.5,14.5,15.5,1019.6,0,66.0,1970-02-03
17.9,10.7,20.9,34.0,11.6,14.4,15.2,1021.2,0,67.0,1970-02-04
16.0,12.5,19.2,76.0,10.0,12.8,14.4,1024.1,0,68.0,1970-02-05
15.4,12.2,18.0,86.0,9.7,12.4,13.7,1023.2,Trace,69.0,1970-02-06
17.7,12.2,23.0,50.0,12.3,14.7,14.6,1021.2,0,72.0,1970-02-07
20.6,13,25.6,36.0,14.8,17.2,17.4,1019.8,0,70.0,1970-02-08
16.5,13.8,19.2,82.0,13.1,14.6,14.9,1022.5,0,80.0,1970-02-09
14.9,12.4,17.3,67.0,8.9,11.8,13.7,1023.8,0,68.0,1970-02-10
13.7,12.2,14.7,89.0,10.6,12.1,12.7,1023.8,2.1,82.0,1970-02-11
14.4,11.7,17.7,71.0,10.0,12.1,12.7,1022.8,Trace,75.0,1970-02-12
16.2,8.2,20.7,4.0,11.2,13.5,12.6,1020.4,0,73.0,1970-02-13
17.8,10.1,22.6,30.0,9.8,13.6,14.4,1019.4,0,61.0,1970-02-14
19.6,11.7,24.1,29.0,13.3,16.0,16.0,1019.6,0,68.0,1970-02-15
16.9,9.7,20.5,16.0,8.8,12.7,14.2,1021.4,0,60.0,1970-02-16
16.4,10.8,20.2,17.0,11.0,13.5,14.2,1019.3,0,71.0,1970-02-17
18.5,11.3,22.0,69.0,13.4,15.6,15.7,1016.8,0,73.0,1970-02-18
19.9,15.2,23.9,82.0,16.9,18.1,17.5,1015.5,0,83.0,1970-02-19
20.7,15.8,23.6,81.0,18.5,19.4,19.0,1013.9,0,88.0,1970-02-20
18.7,15,21.8,89.0,17.1,17.7,17.0,1012.9,0,90.0,1970-02-21
19.0,15.5,21.4,91.0,16.8,17.6,17.1,1014.1,0,87.0,1970-02-22
18.5,16.4,21.0,95.0,16.4,17.2,17.2,1015.3,Trace,88.0,1970-02-23
20.4,17.4,24.2,71.0,18.0,18.9,18.2,1014.5,Trace,87.0,1970-02-24
